Date,Open,High,Low,Close,Volume
6/10/2014,195.339996,195.639999,194.919998,195.600006,57129000
6/11/2014,194.899994,195.119995,194.479996,194.919998,68772000
6/12/2014,194.690002,194.800003,193.110001,193.539993,106350000
6/13/2014,193.919998,194.320007,193.300003,194.130005,82017000
6/16/2014,193.889999,194.699997,193.660004,194.289993,87424000
6/17/2014,194.020004,194.970001,193.809998,194.830002,84834000
6/18/2014,194.830002,196.369995,194.399994,196.259995,105267000
6/19/2014,196.429993,196.600006,195.800003,196.479996,85929000
6/20/2014,196.029999,196.100006,195.699997,195.940002,100587000
6/23/2014,195.990005,196.050003,195.520004,195.880005,70611000
6/24/2014,195.529999,196.5,194.479996,194.699997,96237000
6/25/2014,194.289993,195.779999,194.25,195.580002,82782000
6/26/2014,195.610001,195.630005,194.130005,195.440002,84312000
6/27/2014,194.979996,195.880005,194.889999,195.820007,71445100
6/30/2014,195.699997,196.169998,195.529999,195.720001,70201200
7/1/2014,196.199997,197.630005,196.130005,197.029999,90470000
7/2/2014,197.050003,197.479996,196.960007,197.229996,52475000
7/3/2014,197.789993,198.289993,197.639999,198.199997,52938800
7/7/2014,197.820007,197.979996,197.220001,197.509995,61696000
7/8/2014,197.149994,197.220001,195.759995,196.240005,108143000
7/9/2014,196.729996,197.300003,196.309998,197.119995,72992000
7/10/2014,195.220001,196.860001,195.059998,196.339996,99040000
7/11/2014,196.220001,196.75,195.779999,196.610001,64243000
7/14/2014,197.610001,197.860001,197.440002,197.600006,58658000
7/15/2014,197.720001,198.100006,196.360001,197.229996,111307000
7/16/2014,198.110001,198.259995,197.419998,197.960007,79986400
7/17/2014,197.350006,198.100006,195.429993,195.710007,145398000
7/18/2014,196.350006,197.910004,196.240005,197.710007,124330000
7/21/2014,197.089996,197.5,196.429993,197.339996,67592000
7/22/2014,198.009995,198.559998,197.869995,198.199997,67678000
7/23/2014,198.5,198.850006,198.100006,198.639999,65612000
7/24/2014,198.830002,199.059998,198.449997,198.649994,56888000
7/25/2014,198.089996,198.259995,197.330002,197.720001,76837000
7/28/2014,197.759995,198.089996,196.619995,197.800003,69259000
7/29/2014,198.169998,198.449997,196.919998,196.949997,80466000
7/30/2014,197.649994,197.910004,196.160004,196.979996,104222000
7/31/2014,195.610001,195.779999,192.970001,193.089996,183479000
8/1/2014,192.559998,193.759995,191.570007,192.5,189261000
8/4/2014,192.869995,194.300003,192.050003,193.889999,91340000
8/5/2014,193.100006,193.600006,191.309998,192.009995,152690000
8/6/2014,191.110001,192.889999,191.080002,192.070007,94818000
8/7/2014,192.940002,193.130005,190.550003,191.029999,135733000
8/8/2014,191.460007,193.369995,190.949997,193.240005,117014000
8/11/2014,193.970001,194.660004,193.710007,193.800003,74544000
8/12/2014,193.610001,194.149994,192.940002,193.529999,73632000
8/13/2014,194.289993,195.059998,193.960007,194.839996,69047000
8/14/2014,195.160004,195.759995,194.979996,195.759995,57371000
8/15/2014,196.470001,196.649994,194.309998,195.720001,139951000
8/18/2014,196.800003,197.449997,196.690002,197.360001,75424000
8/19/2014,197.839996,198.539993,197.440002,198.389999,59135000
8/20/2014,198.119995,199.160004,198.080002,198.919998,72763000
8/21/2014,199.089996,199.759995,198.929993,199.5,67791000
